id,answer
0,early web browsers
1,the world wide web foundation
2,an unsupported type
3,some web developers
4,the user
5,the industry's first browser war
6,hyperlinks
7,quick and easy ways
8,browser software
9,the entire browser market
10,january 2009
11,may 2012
12,available web browsers
13,the sales
14,some web developers
15,its first beta release
16,january 2009
17,this process
18,their engine default
19,local files
20,"minimal, text-based user interfaces"
21,computer manufacturers
22,august 2011
23,ou
24,first
25,live bookmarks
26,tended
27,begin
28,a respectable following
29,february 2012
30,leading
31,han
32,the open source software model
33,u
34,8% to 16%
35,browsing
36,became
37,ch
38,today
39,pop-up blockers
40,a software application
41,some form
42,favorites
43,the user
44,chrome's user-base
45,a uniform resource locator (url
46,1993 – one
47,provide
48,part
49,os x
50,other information resources
51,the industry's first browser war
52,ut
53,a computer program
54,the whole relay
55,nazism's swastika
56,little mention
57,beijing
58,still
59,a retired indian police service
60,two torchbearers
61,1989
62,neo
63,some western media
64,helm
65,pea
66,about 10 members
67,the torch relay route
68,gathered
69,16 km
70,two additional teams
71,a waterfront pier
72,foreign minister stephen smith
73,novelty inflatable plastic olympic flames
74,forbidden
75,pro-beijing demonstrators
76,the olympic flame
77,gin
78,the citizens
79,hd
80,something
81,the 1989 tiananmen square protests
82,airplanes
83,120 torchbearers
84,at least thirty-five arrests
85,china
86,french luxury goods
87,the security services
88,north korea
89,officially
90,the u.s.-based cable news network (cnn
91,april 14
92,1200 police officers
93,april 27
94,the olympic flame
95,the hong kong alliance
96,march 31
97,a loudhailer
98,join
99,scrutiny
100,the list
101,a banner
102,seven and a half hours
103,bedi
104,fro
105,gai
106,chinese demands
107,three members
108,calling
109,res
110,jubilant argentines
111,the tiananmen square protests
112,no interruptions
113,drew
114,the chinese government
115,ethnic degenerate scum
116,friends of falun gong
117,fo
118,the 1964 tokyo edition
119,the hong kong alliance
120,majora carter
121,legislative council member leung kwok-hung
122,novelty inflatable plastic olympic flames
123,wave
124,the government's decision
125,regions
126,"between 2,000 and 10,000 chinese supporters"
127,syrian actress sulaf fawakherji
128,hat
129,med
130,120 torchbearers
131,the capital city
132,justin herman plaza
133,2005
134,may 2
135,more than 100 police officers
136,participate
137,legislative council member leung kwok-hung
138,yi
139,demonstrate
140,the 1988 summer olympics
141,ponte governador nobre de carvalho
142,the media
143,a distinguished lady diplomat
144,their] patriotic enthusiasm
145,129 days
146,anti-chinese demonstrations
147,ten
148,1707
149,the whole relay
150,several protests
151,chief executive donald tsang
152,response
153,the delhi relay
154,a handful
155,the rally
156,yi
157,legislative council member leung kwok-hung
158,freedom
159,the special police unit
160,the event
161,the eiffel tower
162,the olympic flame
163,"one world, one dream"
164,darfur
165,china
166,san francisco's marina district
167,howe
168,quasi-government
169,the 2012 summer olympics
170,ist
171,celebrations
172,und
173,partnerships
174,april 2
175,gathered
176,both orchidbbs.com and cyberctm.com internet forums
177,1000 personnel
178,the original 20 km relay
179,arrive
180,april 9
181,non-athletes
182,the torch relay
183,last
184,san francisco's marina district
185,legislator cheung man kwong
186,bollywood actress soha ali khan
187,chinese accusations
188,able
189,democracy activists
190,the arguments
191,everyone's best interest
192,five intended torchbearers
193,olympic torch relays
194,its long-standing participation
195,something
196,the combined effect
197,several hundred pro-tibet protesters
198,support of patriotic democratic movements
199,plastic air-filled batons
200,front
201,the torch relay
202,"more than 200,000 spectators"
203,non
204,j
205,support of patriotic democratic movements
206,nobel peace prize laureate wangari maathai's withdrawal
207,a large chinese national flag
208,the torch relay leg
209,long
210,the midnight deadline
211,legislative council member leung kwok-hung
212,more than 100 police officers
213,water bottles
214,protests
215,held
216,about 10 members
217,ear
218,its staff
219,2005
220,willing
221,the torchbearers
222,the 1989 tiananmen square protests
223,whose brother
224,their struggle
225,several onlookers
226,american and chinese olympic officials
227,san francisco
228,breached security
229,expelled
230,nazism's swastika
231,several protests
232,officials
233,chinese diplomats
234,a ceremony
235,1989
236,a.
237,the world
238,official olympic insignia
239,the 2004 summer olympics
240,a number
241,like
242,novelty inflatable plastic olympic flames
243,chinese media
244,tibetan flags
245,the first active mma fighter
246,online chat rooms
247,120 torchbearers
248,the eiffel tower
249,april 13
250,the chinese state press agency
251,the olympic torch
252,playing
253,respective
254,non-
255,anti-french rallies
256,fro
257,china
258,40 attendants
259,v.
260,san francisco
261,the spratly and paracel islands
262,ring
263,chinese demands
264,western countries
265,including
266,april 15
267,a handful
268,legislative council member leung kwok-hung
269,the torchbearers
270,american and chinese olympic officials
271,china
272,the chinese side
273,view
274,april 12
275,several symbolic protests
276,april 17
277,press
278,their compatriots
279,may 1
280,the olympic flame's first visit
281,the first time
282,the rescue and relief work
283,turn
284,boycotters
285,n't
286,these thugs
287,"a ""small demonstration"
288,ha
289,reporters without borders'
290,a retired indian police service
291,intended torchbearer lin hatfield dodds
292,chinese immigrants
293,show
294,"
 sultanate"
295,march 2008
296,the people's daily
297,k
298,the three activists
299,confusion
300,apparent revenge
301,the comment
302,novelty inflatable plastic olympic flames
303,chinese paralympic athlete jin jing
304,an un-identified person
305,the event
306,large numbers
307,the chinese media
308,hit
309,the ngunnawal people
310,the red and yellow colors
311,the u.s. olympic committee
312,the websites
313,major chinese cities
314,the olympic flame
315,ten
316,a complex security operative
317,san francisco's marina district
318,novelty inflatable plastic olympic flames
319,macau stadium
320,"the ""olympic games"
321,including
322,the torch relay leg
323,around
324,a group
325,the last time
326,the beijing olympic organizing committee
327,australian capital territory
328,rain
329,about 10 members
330,about a thousand people
331,the opening ceremony
332,insist
333,kazakhstan nursultan nazarbaev
334,what one newspaper
335,kept
336,an official trip
337,"april 1, 2008"
338,china
339,yin
340,only invitees
341,marginally
342,mainland china
343,demonstrations
344,the u.s. olympic committee
345,chinese media
346,macao daily news
347,most western media
348,republic day celebrations
349,bad weather
350,escorted
351,the olympic flame
352,readers
353,standard western equal temperament
354,1000 hz
355,"an objective, scientific attribute"
356,12
357,a true repetition
358,iv
359,such a close proxy
360,many deep conceptual metaphors
361,their autocorrelation function
362,numerous frequencies
363,any two successive notes
364,standard western equal temperament
