id,answer
0,code
1,whistles
2,policing-intelligence
3,-hæmptən/
4,february
5,group
6,february
7,unicode
8,bell
9,simon
10,tract
11,fire
12,european
13,paul
14,thayer
15,november
16,1976
17,index
18,argument
19,index
20,pain
21,2013
22,1936
23,recording
24,alley
25,pain
26,8% to 16%
27,1925
28,suspended
29,106
30,code
31,+5.0
32,peter
33,records
34,its usage share
35,structure
36,1994
37,steel
38,groove
39,fees
40,energised
41,nerve
42,a-delta
43,pratyakṣa
44,2007
45,index
46,digit
47,lighting
48,light
49,goalkeeper
50,discriminating
51,group
52,action
53,steel
54,october
55,alexander
56,award
57,british
58,opus
59,pope
60,2013
61,paul
62,bus
63,freight-only
64,federal
65,tom
66,october
67,cancan
68,university
69,johnson
70,association
71,tha̍k-im
72,pregnancies
73,tha̍k-im
74,russell
75,secretary
76,hungary
77,parliamentary
78,julius
79,january
80,tmolus
81,first
82,october
83,hamidian
84,palace
85,oerlikon
86,information
87,october
88,accords
89,times
90,daviau
91,mark
92,used
93,wen
94,ancon
95,oerlikon
96,imre
97,thousands
98,whistleblowers
99,syrtos
100,augury
101,versailles
102,willi
103,7th
104,zhu
105,september
106,association
107,secretary
108,president
109,"7,000"
110,boulevard
111,executive
112,nine
113,thayer
114,tha̍k-im
115,religious
116,buenos aires
117,online
118,wernher
119,golden
120,west
121,sic
122,oerlikon
123,committee
124,college
125,0–2
126,general
127,maximus
128,pope
129,the chinese government
130,maximus
131,new
132,impurities
133,nyctv
134,uninterrupted
135,1938
136,vladimir
137,interned
138,invaders
139,feet
140,tsn
141,august
142,charles
143,1914
144,^Note
145,million
146,six
147,seven
148,president
149,october
150,workshops
151,150
152,oerlikon
153,mid-1954
154,byword
155,fort
156,cold
157,bristles
158,raf
159,500
160,the 1964 tokyo edition
161,edward
162,may
163,-plus
164,quay
165,tha̍k-im
166,1828
167,workstation
168,media
169,law
170,wes
171,kemal
172,1763
173,hiking
174,bladderball
175,herodotus
176,1969
177,november
178,square
179,french
180,grand
181,three
182,tha̍k-im
183,may
184,thayer
185,october
186,presidency
187,recordings—militates
188,square
189,boulevard
190,universities
191,william
192,six
193,120 torchbearers
194,minutes
195,tmolus
196,imre
197,jim
198,tha̍k-im
199,street
200,november
201,policy—thus
202,ocean
203,rebels
204,pope
205,ninety-five
206,paris
207,robert
208,war
209,battle
210,boulevard
211,executive
212,imre
213,pope
214,october
215,celluloid
216,governing
217,battle
218,based
219,may 1
220,monarchy
221,battle
222,monarchy
223,30
224,28
225,yale
226,buyers
227,wars
228,reporters without borders
229,seminary
230,action
231,bristles
232,1895
233,mestizo
234,three
235,pope
236,15
237,six
238,albert
239,route
240,a-ma temple
241,octaves
242,tom
243,music
244,victor
245,hill
246,robberies
247,october
248,cathartic
249,support
250,09:02
251,"60,000"
252,goalkeeper
253,million
254,two
255,1857
256,xbox
257,team
258,nine
259,alan
260,the paris leg
261,cayetano
262,1857
263,two
264,duke
265,october
266,rockets
267,first
268,bus
269,battle
270,ireland
271,region
272,1948
273,dye
274,jiayou
275,section
276,battle
277,sect
278,west
279,schmidt
280,john
281,half
282,maximus
283,october
284,wilhelm
285,governement
286,kennedy
287,rocket
288,ii
289,-plus
290,2003
291,leopard
292,bay
293,warrior
294,tha̍k-im
295,battle
296,tha̍k-im
297,october
298,paris
299,34
300,theistic
301,tom
302,pope
303,milling
304,revolution
305,imre
306,tha̍k-im
307,january
308,ancon
309,french
310,minutes
311,patrick
312,bombers
313,traveling
314,bus
315,cambridge
316,1200 police officers
317,oerlikon
318,pope
319,american
320,7th
321,timer
322,november
323,john
324,2010
325,maximum
326,four
327,johnson
328,90
329,white
330,baghdad
331,war
332,sun
333,government
334,wants
335,1830
336,government
337,1989
338,october
339,nevis
340,imre
341,six
342,four
343,patrick
344,england
345,john
346,government
347,human rights
348,giacomo
349,february
350,earthquake
351,20
352,bourdin
353,2010s
354,whistles
355,size
356,whistles
357,fish
358,343
359,opus
360,opus
361,coda
362,mesencephalon
363,identity
364,genome
365,fonts
366,whistles
367,oncoming
368,50
369,identities
370,physician
371,downstream
372,center
373,550
374,willi
375,3–2
376,4.9
377,sound
378,center
379,1
380,the crimean war
381,anatolia
382,square
383,the river test
384,black
385,perceives
386,three years
387,four
388,state
389,ovens
390,-plus
391,2004
392,perceives
393,three
394,black
395,national
396,group
397,elizabeth ii
398,2007
399,1971
400,the 2015 council elections
401,mayflower park
402,best
403,canute's palace
404,missile
405,three
406,queen
407,engineers
408,1989
409,normative
410,empire
411,england
412,million
413,four
414,90
415,tha̍k-im
416,2004
