id,answer
0,salon
1,purpose
2,holocaust
4,23.2
5,AOL
6,morale
7,salon
9,purpose
10,salon
12,salon
13,23.2
14,morale
15,salon
16,holocaust
17,extended-play
19,23.2
20,purpose
21,29°02′S
23,1985
24,23.2
25,2:00pm
26,1985
27,2:00pm
28,29°02′S
29,2C
30,extended-play
31,707
33,experiencing
34,salon
35,1970
36,puruṣa
37,2:00pm
38,extended-play
39,707
40,salon
41,1970
42,229
43,229
44,AOL
45,1985
46,purpose
48,2:00pm
49,2:00pm
50,29°02′S
51,experiencing
52,salon
53,purpose
55,23.2
56,morale
57,29°02′S
59,23.2
60,AOL
61,AOL
62,extended-play
63,salon
64,extended-play
65,23.2
66,1985
67,1970
69,extended-play
70,1590
71,AOL
72,%
73,holocaust
74,%
75,AOL
76,AOL
77,protestors
78,29°02′S
79,%
80,2001–2011
81,"915,071"
82,salon
83,protestors
84,multi-purpose
85,29°02′S
86,AOL
87,37mm
88,devotees
90,hilltop
91,witnesses—based
92,AOL
93,2001–2011
94,devotees
95,1819
96,1819
97,2002
98,protestors
99,salon
100,%
101,211
102,roald
103,AOL
104,23.2
105,20:18:04
106,%
107,2002
108,mid-19th
109,AOL
110,witnesses—based
111,publish
112,2012-13
113,%
114,1590
115,devotees
116,mid-19th
117,AOL
118,AOL
119,1675
120,devotees
121,%
122,2012-13
123,hilltop
124,mid-19th
125,%
126,publish
127,1819
128,multi-purpose
129,37mm
130,1819
131,publish
132,1819
133,2012-13
134,protestors
135,%
136,publish
137,mid-19th
138,%
139,1590
140,salon
141,protestors
142,23.2
143,1968
144,AOL
145,1590
146,"915,071"
147,%
148,2002
149,witnesses—based
150,publish
151,%
152,salon
153,20:18:04
154,hilltop
155,devotees
156,roald
157,devotees
158,%
159,2001–2011
160,mid-19th
162,%
163,AOL
164,witnesses—based
165,2fm
166,AOL
167,mid-19th
168,hilltop
169,AOL
170,20:18:04
171,hilltop
172,%
173,hilltop
174,2012-13
175,29°02′S
176,AOL
177,%
178,2002
179,AOL
181,holocaust
182,salon
183,salon
184,29°02′S
185,AOL
186,AOL
187,%
188,29°02′S
189,%
190,1675
191,1819
192,%
193,1675
194,%
195,AOL
196,%
197,publish
198,211
199,AOL
